"course_id","hp","descr"
"HFRA07",30.0,"Franska 1"
"HFRA06",15.0,"Franska i näringslivet"
"8FG032",15.0,"Samspel mellan teori och praktik inom arbetsterapi. Del 2"
"HFRA01",30.0,"Franska 1"
"TNM089",6.0,"Bildteknik"
"TATA56",6.0,"Matematikens historia"
"HFRA09",7.5,"Fransk film och litteratur"
"HFRA08",30.0,"Franska 1"
"TMTR01",7.5,"Hantverk och konservering"
"ÖMBRAD",21.0,"Radiofysik/radiobiologi. teoretisk försöksdjurskunskap och tillämpad metodik. C-nivå"
"TMTR00",9.0,"Produktutveckling och produktion"
"TEXD20",30.0,"Examensarbete"
"TMTR05",7.5,"Trätekniska material och maskiner"
"TMKT58",6.0,"Formgivning och formseende"
"TNE007",6.0,"Programvaruprojekt"
"TNE006",7.5,"Digitala integrerade kretsar"
"TNE005",7.5,"Industriell produktion"
"TNE004",6.0,"Analog elektronik"
"TNE003",10.5,"Kretsteori och tidsdiskreta system"
"TNE001",1.5,"Industriell elektronik"
"9SV221",15.0,"Litteratur och skola (16-30hp)"
"TNE009",6.0,"Mikrodatorer"
"TNE008",4.5,"Analoga kretsar"
"ÖFVUPB",7.5,"Vetenskaplig metod inkl uppsats"
"NKEC10",7.5,"Biomätteknik"
"TEIO60",6.0,"Industriell organisation. grundkurs"
"NKEC12",7.5,"Genteknik"
"NKEC13",7.5,"Tillämpad kemometri"
"TEIO65",4.5,"Industriell projektledning"
"NKEC15",12.0,"Organisk kemi - Molekylär design"
"NKEC16",12.0,"Organisk analytisk kemi"
"NKEC17",6.0,"Komplexkemi"
"LÖAA55",13.5,"Yrkesrollen IV. med praktik"
"NKEC19",3.0,"Organisk spektroskopi"
"LÖAA56",3.0,"Kommunikation III"
"NFXD21",30.0,"Examensarbete"
"716G10",30.0,"Litteraturvetenskap 1. grundkurs"
"TNM009",7.5,"Internetteknik"
"TNM008",9.0,"3-D Datorgrafik med virtuell verklighet"
"TNM007",3.0,"Design och estetik"
"TNM006",9.0,"Kommunikation och användargränssnitt"
"TNM005",7.5,"Datorgrafik"
"TNM003",4.5,"Industriell ekonomi"
"TNM002",9.0,"Datorgrafik"
"TBME45",6.0,"Systemfysiologi"
"TA1000",15.0,"Probability Theory"
"HSKX95",15.0,"Praktik"
"HSKX94",30.0,"Praktik"
"HSKX93",30.0,"Europa i ett regionalt perspektiv: politik. ekonomi och juridik"
"HASMD2",7.5,"Institutions. Institutional Change and Sustainable Development"
"TMPT63",6.0,"Datoriserad produktionsutrustning"
"TMPT69",6.0,"Avancerade produktionssystem"
"ETE259",7.5,"Tjänstedesign och IT"
"ETE258",7.5,"Scriptspråk"
"ÖSB501",7.5,"Ledarskap i lärande organisationer"
"ETE253",3.0,"Introduktion till energisystem"
"ETE252",4.5,"Fysiklärare i praktiken"
"ETE251",6.0,"Återkopplade reglersystem"
"ETE257",7.5,"Interaktionsprogrammering"
"ETE256",6.0,"Grundläggande systemadministration"
"FHI013",30.0,"Historia 1A"
"TEIE84",6.0,"Industriell ekonomi fk"
"TEIE87",6.0,"Industriell tjänstutveckling"
"TEIE81",3.0,"Internationell affärsrätt"
"TEIE80",4.0,"Internationell affärsrätt"
"TEIE83",6.0,"Cost Benefitanalys - samhällsekonomisk projektutvärdering"
"TEIE89",7.5,"Juridik"
"TEIE88",4.0,"Datajuridisk översiktskurs"
"910G03",30.0,"Svenska som andraspråk 3. fördjupningskurs"
"913G06",7.5,"Påbyggnadsutbildning i specialpedagogik Fördjupningsarbete"
"TMQU26",7.5,"Quality Management"
"TMQU25",9.0,"Kvalitetsledning och processutveckling"
"913G05",7.5,"Påbyggnadsutbildning i specialpedagogik Språk-. läs- och skrivutveckling"
"TMQU23",7.5,"Kvalitetsledning"
"TMQU22",4.5,"Kvalitetsstyrning"
"LKDA57",7.5,"Lärares yrkesetik och värdegrund i skolan"
"LKDA55",30.0,"Körsång"
"746A50",9.0,"Integrated Resource Management"
"LKDA53",7.5,"Skolan som kultur och organisation"
"LKDA52",7.5,"Skolledares kvalitetsarbete"
"LKDA51",7.5,"Klassens dynamik och lärprocesser"
